"latin","common","common_name","scientific_name"
"Carcharhinidae","requiem shark unident.","requiem_shark_unident.","Carcharhinidae"
"Squatinidae","angel shark unident.","angel_shark_unident.","Squatinidae"
"Arhynchobatidae","softnose skates","softnose_skates","Arhynchobatidae"
"Bathyraja microtrachys","Fine-Spined Skate","Fine-Spined_Skate","Bathyraja_microtrachys"
"Urolophidae","round stingray unident.","round_stingray_unident.","Urolophidae"
"Urobatis halleri","round stingray","round_stingray","Urobatis_halleri"
"Dasyatis dipterura","diamond stingray","diamond_stingray","Dasyatis_dipterura"
"Gymnuridae","butterfly ray unident.","butterfly_ray_unident.","Gymnuridae"
"Gymnura marmorata","California butterfly ray","California_butterfly_ray","Gymnura_marmorata"
"Torpedinidae","torpedo electric ray unident.","torpedo_electric_ray_unident.","Torpedinidae"
"Chimaeridae","snortnose chimaera unident. ","snortnose_chimaera_unident._","Chimaeridae"
"Nettastomatidae","duckbilled eel unident.","duckbilled_eel_unident.","Nettastomatidae"
"Venefica tentaculata","","","Venefica_tentaculata"
"Serrivomeridae","sawtooth eel unident.","sawtooth_eel_unident.","Serrivomeridae"
"Serrivomer jesperseni","crossthroat snipe eel","crossthroat_snipe_eel","Serrivomer_jesperseni"
"Eurypharyngidae","Umbrellamouth Gulpers","Umbrellamouth_Gulpers","Eurypharyngidae"
"Saccopharyngidae","whiptail gulpers unident.","whiptail_gulpers_unident.","Saccopharyngidae"
"Clupeidae","herring unident.","herring_unident.","Clupeidae"
"Engraulidae","anchovy unident.","anchovy_unident.","Engraulidae"
"Oncorhynchus clarkii clarkii","coastal cutthroat trout","coastal_cutthroat_trout","Oncorhynchus_clarkii_clarkii"
"Salvelinus confluentus","bull trout","bull_trout","Salvelinus_confluentus"
"Salvelinus fontinalis","brook trout","brook_trout","Salvelinus_fontinalis"
"Salmo trutta","Brown Trout","Brown_Trout","Salmo_trutta"
"Salmo salar","Atlantic Salmon","Atlantic_Salmon","Salmo_salar"
"Microstomatidae","pencilsmelt unident.","pencilsmelt_unident.","Microstomatidae"
"Astronesthinae","snaggletooth unident.","snaggletooth_unident.","Astronesthinae"
"Idiacanthinae","black dragonfishes","black_dragonfishes","Idiacanthinae"
"Alepisauridae","lancetfish unident.","lancetfish_unident.","Alepisauridae"
"Scopelarchidae","pearleye unident.","pearleye_unident.","Scopelarchidae"
"Benthalbella linguidens","longfin pearleye","longfin_pearleye","Benthalbella_linguidens"
"Neoscopelidae","blackchin unident.","blackchin_unident.","Neoscopelidae"
"Merlucciidae","merluccid hake unident.","merluccid_hake_unident.","Merlucciidae"
"Melanonidae","arrowtail unident.","arrowtail_unident.","Melanonidae"
"Bythitidae","viviparous brotula unident.","viviparous_brotula_unident.","Bythitidae"
"Pachycara gymninium","nakednape eelpout","nakednape_eelpout","Pachycara_gymninium"
"Pachycara bulbiceps","snubnose eelpout","snubnose_eelpout","Pachycara_bulbiceps"
"Maynea californica","persimmon eelpout","persimmon_eelpout","Maynea_californica"
"Derepodichthys alepidotus","cuskpout","cuskpout","Derepodichthys_alepidotus"
"Batrachoididae","toadfish unident.","toadfish_unident.","Batrachoididae"
"Porichthys myriaster","speckledfin midshipmen","speckledfin_midshipmen","Porichthys_myriaster"
"Melanocetidae","blackdevil unident.","blackdevil_unident.","Melanocetidae"
"Scomberesocidae","saury unident.","saury_unident.","Scomberesocidae"
"Atherinopsis californiensis","jacksmelt","jacksmelt","Atherinopsis_californiensis"
"Luvaridae","louvar unident.","louvar_unident.","Luvaridae"
"Luvarus imperialis","louvar","louvar","Luvarus_imperialis"
"Lamprididae","opah unident.","opah_unident.","Lamprididae"
"Lampris immaculatus","southern opah","southern_opah","Lampris_immaculatus"
"Trachipteridae","ribbonfish unident.","ribbonfish_unident.","Trachipteridae"
"Tetragonuridae","squartail unident.","squartail_unident.","Tetragonuridae"
"Tetragonurus cuvieri","smalleye squaretail","smalleye_squaretail","Tetragonurus_cuvieri"
"Anoplogastridae","fangtooth unident.","fangtooth_unident.","Anoplogastridae"
"Barbourisiidae","velvet whalefish unident.","velvet_whalefish_unident.","Barbourisiidae"
"Barbourisia rufa","velvet whalefish","velvet_whalefish","Barbourisia_rufa"
"Rondeletiidae","redmouthed whalefish unident.","redmouthed_whalefish_unident.","Rondeletiidae"
"Oreosomatidae","oreo unident.","oreo_unident.","Oreosomatidae"
"Caristiidae","manefish unident.","manefish_unident.","Caristiidae"
"Sebastes moseri","whitespotted rockfish","whitespotted_rockfish","Sebastes_moseri"
"Sebastes notius","Guadalupe Rockfish","Guadalupe_Rockfish","Sebastes_notius"
"Sebastes exsul","Buccaneer Rockfish","Buccaneer_Rockfish","Sebastes_exsul"
"Triglidae","searobin unident.","searobin_unident.","Triglidae"
"Bellator xenisma","splitnose searobin","splitnose_searobin","Bellator_xenisma"
"Anoplopomatidae","sablefish unident.","sablefish_unident.","Anoplopomatidae"
"Erilepis zonifer","skilfish","skilfish","Erilepis_zonifer"
"Zaniolepidinae","combfish unident.","combfish_unident.","Zaniolepidinae"
"Synchirus gilli","manacled sculpin","manacled_sculpin","Synchirus_gilli"
"Ascelichthys rhodorus","Rosylip Sculpin","Rosylip_Sculpin","Ascelichthys_rhodorus"
"Radulinus boleoides","darter sculpin","darter_sculpin","Radulinus_boleoides"
"Radulinus vinculus","smoothgum sculpin","smoothgum_sculpin","Radulinus_vinculus"
"Radulinus taylori","spinynose sculpin","spinynose_sculpin","Radulinus_taylori"
"Hypsagonus mozinoi","kelp Poacher","kelp_Poacher","Hypsagonus_mozinoi"
"Agonopsis sterletus","southern spearnose poacher","southern_spearnose_poacher","Agonopsis_sterletus"
"Bothragonus swanii","rockhead","rockhead","Bothragonus_swanii"
"Percichthyidae","temperate bass unident.","temperate_bass_unident.","Percichthyidae"
"Serranidae","sea bass unident.","sea_bass_unident.","Serranidae"
"Epinephelus analogus","spotted cabrilla","spotted_cabrilla","Epinephelus_analogus"
"Paralabrax maculatofasciatus","spotted sand bass","spotted_sand_bass","Paralabrax_maculatofasciatus"
"Paralabrax auroguttatus","goldspotted sand bass","goldspotted_sand_bass","Paralabrax_auroguttatus"
"Paralabrax clathratus","kelp bass","kelp_bass","Paralabrax_clathratus"
"Malacanthidae","tilefish unident.","tilefish_unident.","Malacanthidae"
"Caulolatilus princeps","ocean whitefish","ocean_whitefish","Caulolatilus_princeps"
"Caulolatilus hubbsi","enigmatic tilefish","enigmatic_tilefish","Caulolatilus_hubbsi"
"Carangidae","jack unident.","jack_unident.","Carangidae"
"Decapterus scombrinus","Mexican scad","Mexican_scad","Decapterus_scombrinus"
"Haemulidae","grunt unident.","grunt_unident.","Haemulidae"
"Anisotremus davidsonii","sargo","sargo","Anisotremus_davidsonii"
"Kyphosidae","sea chub unident.","sea_chub_unident.","Kyphosidae"
"Girella nigricans","opaleye","opaleye","Girella_nigricans"
"Hermosilla azurea","zebraperch","zebraperch","Hermosilla_azurea"
"Amphistichus koelzi","calico surfperch","calico_surfperch","Amphistichus_koelzi"
"Cymatogaster gracilis","island surfperch","island_surfperch","Cymatogaster_gracilis"
"Micrometrus aurora","reef perch","reef_perch","Micrometrus_aurora"
"Micrometrus minimus","dwarf perch","dwarf_perch","Micrometrus_minimus"
"Embiotoca jacksoni","black perch","black_perch","Embiotoca_jacksoni"
"Hypsurus caryi","rainbow seaperch","rainbow_seaperch","Hypsurus_caryi"
"Hyperprosopon ellipticum","silver surfperch","silver_surfperch","Hyperprosopon_ellipticum"
"Phanerodon furcatus","white seaperch","white_seaperch","Phanerodon_furcatus"
"Phanerodon atripes","sharpnose seaperch","sharpnose_seaperch","Phanerodon_atripes"
"Sphyraenidae","barracuda unident.","barracuda_unident.","Sphyraenidae"
"Sphyraena argentea","California barracuda","California_barracuda","Sphyraena_argentea"
"Trichodontidae","sandfishes unident.","sandfishes_unident.","Trichodontidae"
"Uranoscopidae","stargazer unident.","stargazer_unident.","Uranoscopidae"
"Kathetostoma averruncus","smooth stargazer","smooth_stargazer","Kathetostoma_averruncus"
"Cryptacanthodidae","wrymouth unident.","wrymouth_unident.","Cryptacanthodidae"
"Apodichthys flavidus","penpoint gunnel","penpoint_gunnel","Apodichthys_flavidus"
"Pholis clemensi","longfin gunnel","longfin_gunnel","Pholis_clemensi"
"Pholis ornata","saddleback gunnel","saddleback_gunnel","Pholis_ornata"
"Anarhichadidae","wolffish unident.","wolffish_unident.","Anarhichadidae"
"Zaproridae","prowfish unident.","prowfish_unident.","Zaproridae"
"Ammodytidae","sand lance unident.","sand_lance_unident.","Ammodytidae"
"Trichiurus nitens","Pacific cutlassfish","Pacific_cutlassfish","Trichiurus_nitens"
"Thunnus alalunga","albacore tuna","albacore_tuna","Thunnus_alalunga"
"Centrolophidae","medusafish unident.","medusafish_unident.","Centrolophidae"
"Icosteidae","ragfish unident.","ragfish_unident.","Icosteidae"
"Cynoglossidae","tonguefish unident.","tonguefish_unident.","Cynoglossidae"
"Soleidae","sole unident.","sole_unident.","Soleidae"
"Balistidae","triggerfish unident.","triggerfish_unident.","Balistidae"
"Balistes polylepis","finescale triggerfish","finescale_triggerfish","Balistes_polylepis"
"Melichthys niger","black durgon","black_durgon","Melichthys_niger"
"Xanthichthys mento","redtail triggerfish","redtail_triggerfish","Xanthichthys_mento"
"Molidae","mola unident.","mola_unident.","Molidae"
"Ranzania laevis","slender mola","slender_mola","Ranzania_laevis"
"Sebastes melanostictus","blackspotted rockfish","blackspotted_rockfish","Sebastes_melanostictus"
"Sebastes sp. (crocotulus)","Sunset rockfish","Sunset_rockfish","Sebastes_sp._(crocotulus)"
"Sebastes sp. (miniatus / crocotulus)","vermilion and sunset rockfish","vermilion_and_sunset_rockfish","Sebastes_sp._(miniatus_/_crocotulus)"
"Lepidopus fitchi","Fitchs scabbardfish","Fitchs_scabbardfish","Lepidopus_fitchi"
"Serrivomer","serrivomer unident.","serrivomer_unident.","Serrivomer"
"Aphanopus intermedius","intermediate scabbardfish","intermediate_scabbardfish","Aphanopus_intermedius"
"Neoclinus blanchardi","sarcastic fringehead","sarcastic_fringehead","Neoclinus_blanchardi"
"Scymnodon squamulosus","velvet dogfish","velvet_dogfish","Scymnodon_squamulosus"
"Platytroctes apus","","","Platytroctes_apus"
"Semicossyphus pulcher","California sheephead","California_sheephead","Semicossyphus_pulcher"
"Labridae","wrasse or parrotfish unident.","wrasse_or_parrotfish_unident.","Labridae"
"Halichoeres semicinctus","rock wrasse","rock_wrasse","Halichoeres_semicinctus"
"Oxyjulis californica","senorita","senorita","Oxyjulis_californica"
"Pronotogrammus multifasciatus","threadfin bass","threadfin_bass","Pronotogrammus_multifasciatus"
"Acipenser transmontanus","white sturgeon","white_sturgeon","Acipenser_transmontanus"
"Acantholiparis","","","Acantholiparis"
"Acantholumpenus","","","Acantholumpenus"
"Acipenser","","","Acipenser"
"Adelosebastes","","","Adelosebastes"
"Agonopsis","","","Agonopsis"
"Albatrossia","","","Albatrossia"
"Alepisaurus","","","Alepisaurus"
"Allocareproctus","","","Allocareproctus"
"Allocyttus","","","Allocyttus"
"Allosmerus","","","Allosmerus"
"Alopias","","","Alopias"
"Alosa","","","Alosa"
"Amblyraja","stout skates","stout_skates","Amblyraja"
"Ammodytes","","","Ammodytes"
"Amphistichus","","","Amphistichus"
"Anarhichas","","","Anarhichas"
"Anarrhichthys","","","Anarrhichthys"
"Anisotremus","","","Anisotremus"
"Anoplagonus","","","Anoplagonus"
"Anoplarchus","","","Anoplarchus"
"Anoplogaster","","","Anoplogaster"
"Anoplopoma","","","Anoplopoma"
"Anotopterus","","","Anotopterus"
"Atherinopsis","","","Atherinopsis"
"Antimora","","","Antimora"
"Aphanopus","","","Aphanopus"
"Apodichthys","","","Apodichthys"
"Aptocyclus","","","Aptocyclus"
"Archistes","","","Archistes"
"Arctozenus","","","Arctozenus"
"Argentina","","","Argentina"
"Aristostomias","","","Aristostomias"
"Artedius","","","Artedius"
"Ascelichthys","","","Ascelichthys"
"Aspidophoroides","","","Aspidophoroides"
"Atherinops","","","Atherinops"
"Atractoscion","","","Atractoscion"
"Aulorhynchus","","","Aulorhynchus"
"Bajacalifornia","","","Bajacalifornia"
"Balistes","","","Balistes"
"Barbourisia","","","Barbourisia"
"Bathophilus","","","Bathophilus"
"Bathylaco","","","Bathylaco"
"Bathymaster","","","Bathymaster"
"Bellator","","","Bellator"
"Blepsias","","","Blepsias"
"Bolinia","","","Bolinia"
"Boreogadus","","","Boreogadus"
"Borostomias","","","Borostomias"
"Bothragonus","","","Bothragonus"
"Brama","","","Brama"
"Brosmophycis","","","Brosmophycis"
"Caristius","","","Caristius"
"Caulolatilus","","","Caulolatilus"
"Caulophryne","","","Caulophryne"
"Centroscyllium","","","Centroscyllium"
"Cephaloscyllium","","","Cephaloscyllium"
"Ceratoscopelus","","","Ceratoscopelus"
"Cetorhinus","","","Cetorhinus"
"Chaenophryne","","","Chaenophryne"
"Chauliodus","","","Chauliodus"
"Cheilotrema","","","Cheilotrema"
"Chesnonia","","","Chesnonia"
"Chiasmodon","","","Chiasmodon"
"Chilara","","","Chilara"
"Chitonotus","","","Chitonotus"
"Chlamydoselachus","","","Chlamydoselachus"
"Clidoderma","","","Clidoderma"
"Clinocottus","","","Clinocottus"
"Clupea","","","Clupea"
"Caelorinchus","","","Caelorinchus"
"Cololabis","","","Cololabis"
"Coregonus","","","Coregonus"
"Cryptacanthodes","","","Cryptacanthodes"
"Cryptopsaras","","","Cryptopsaras"
"Crystallichthys","","","Crystallichthys"
"Cymatogaster","","","Cymatogaster"
"Dasyatis","","","Dasyatis"
"Dasycottus","","","Dasycottus"
"Decapterus","","","Decapterus"
"Derepodichthys","","","Derepodichthys"
"Desmodema","","","Desmodema"
"Echinorhinus","","","Echinorhinus"
"Eleginus","","","Eleginus"
"Embassichthys","","","Embassichthys"
"Embiotoca","","","Embiotoca"
"Engraulis","","","Engraulis"
"Eopsetta","","","Eopsetta"
"Epinephelus","","","Epinephelus"
"Erilepis","","","Erilepis"
"Eumesogrammus","","","Eumesogrammus"
"Eurymen","","","Eurymen"
"Eurypharynx","","","Eurypharynx"
"Facciolella","","","Facciolella"
"Gadus","","","Gadus"
"Galeorhinus","","","Galeorhinus"
"Gasterosteus","","","Gasterosteus"
"Genyonemus","","","Genyonemus"
"Gibbonsia","","","Gibbonsia"
"Gigantura","","","Gigantura"
"Gilbertidia","","","Gilbertidia"
"Girella","","","Girella"
"Glyptocephalus","","","Glyptocephalus"
"Gymnura","","","Gymnura"
"Halargyreus","","","Halargyreus"
"Harriotta","","","Harriotta"
"Hemitripterus","","","Hemitripterus"
"Hermosilla","","","Hermosilla"
"Heterodontus","","","Heterodontus"
"Hexanchus","","","Hexanchus"
"Hippoglossina","","","Hippoglossina"
"Hippoglossus","","","Hippoglossus"
"Howella","","","Howella"
"Hygophum","","","Hygophum"
"Hyperprosopon","","","Hyperprosopon"
"Hypomesus","","","Hypomesus"
"Hypsagonus","","","Hypsagonus"
"Hypsopsetta","","","Hypsopsetta"
"Hypsurus","","","Hypsurus"
"Icichthys","","","Icichthys"
"Icosteus","","","Icosteus"
"Idiacanthus","","","Idiacanthus"
"Inopsetta","","","Inopsetta"
"Isopsetta","","","Isopsetta"
"Isurus","","","Isurus"
"Jordania","","","Jordania"
"Kali","","","Kali"
"Kathetostoma","","","Kathetostoma"
"Laemonema","","","Laemonema"
"Lamna","","","Lamna"
"Lampetra","","","Lampetra"
"Lampris","","","Lampris"
"Lamprogrammus","","","Lamprogrammus"
"Lepidopus","","","Lepidopus"
"Leptocottus","","","Leptocottus"
"Lestidiops","","","Lestidiops"
"Limanda","","","Limanda"
"Liopsetta","","","Liopsetta"
"Lipariscus","","","Lipariscus"
"Lumpenella","","","Lumpenella"
"Luvarus","","","Luvarus"
"Lyconema","","","Lyconema"
"Lyopsetta","","","Lyopsetta"
"Macropinna","","","Macropinna"
"Magnisudis","","","Magnisudis"
"Malacocephalus","","","Malacocephalus"
"Mallotus","","","Mallotus"
"Maynea","","","Maynea"
"Medialuna","","","Medialuna"
"Megalocottus","","","Megalocottus"
"Melamphaes","","","Melamphaes"
"Melanocetus","","","Melanocetus"
"Melanonus","","","Melanonus"
"Melanostigma","","","Melanostigma"
"Melichthys","","","Melichthys"
"Merluccius","","","Merluccius"
"Microcottus","","","Microcottus"
"Microgadus","","","Microgadus"
"Micrometrus","","","Micrometrus"
"Microstomus","","","Microstomus"
"Mirorictus","","","Mirorictus"
"Mola","","","Mola"
"Myliobatis","","","Myliobatis"
"Myxine","","","Myxine"
"Nalbantichthys","","","Nalbantichthys"
"Nansenia","","","Nansenia"
"Nautichthys","","","Nautichthys"
"Nectoliparis","","","Nectoliparis"
"Nemichthys","","","Nemichthys"
"Neonesthes","","","Neonesthes"
"Neoscopelus","","","Neoscopelus"
"Nezumia","","","Nezumia"
"Notacanthus","","","Notacanthus"
"Notorynchus","","","Notorynchus"
"Notoscopelus","","","Notoscopelus"
"Occella","","","Occella"
"Odontaspis","","","Odontaspis"
"Odontopyxis","","","Odontopyxis"
"Ophidion","","","Ophidion"
"Ophiodon","","","Ophiodon"
"Osmerus","","","Osmerus"
"Oxylebius","","","Oxylebius"
"Pachycara","","","Pachycara"
"Pachystomias","","","Pachystomias"
"Pallasina","","","Pallasina"
"Paralabrax","","","Paralabrax"
"Paralichthys","","","Paralichthys"
"Paricelinus","","","Paricelinus"
"Parmaturus","","","Parmaturus"
"Parophrys","","","Parophrys"
"Peprilus","","","Peprilus"
"Percis","","","Percis"
"Phanerodon","","","Phanerodon"
"Photonectes","","","Photonectes"
"Physiculus","","","Physiculus"
"Platichthys","","","Platichthys"
"Platyrhinoidis","","","Platyrhinoidis"
"Plectobranchus","","","Plectobranchus"
"Pleurogrammus","","","Pleurogrammus"
"Pleuronectes","","","Pleuronectes"
"Polyacanthonotus","","","Polyacanthonotus"
"Poroclinus","","","Poroclinus"
"Poromitra","","","Poromitra"
"Prionace","","","Prionace"
"Prionotus","","","Prionotus"
"Prognatholiparis","","","Prognatholiparis"
"Psettichthys","","","Psettichthys"
"Pungitius","","","Pungitius"
"Puzanovia","","","Puzanovia"
"Radulinus","","","Radulinus"
"Ranzania","","","Ranzania"
"Rastrinus","","","Rastrinus"
"Rathbunella","","","Rathbunella"
"Reinhardtius","","","Reinhardtius"
"Rhacochilus","Damalichthys","Damalichthys","Rhacochilus"
"Rhamphocottus","","","Rhamphocottus"
"Rhinobatos","","","Rhinobatos"
"Rondeletia","","","Rondeletia"
"Ronquilus","","","Ronquilus"
"Sagamichthys","","","Sagamichthys"
"Salmo","","","Salmo"
"Salvelinus","","","Salvelinus"
"Sardinops","","","Sardinops"
"Scomber","","","Scomber"
"Scopelengys","","","Scopelengys"
"Scorpaena","","","Scorpaena"
"Scorpaenichthys","","","Scorpaenichthys"
"Scorpaenodes","","","Scorpaenodes"
"Seriphus","","","Seriphus"
"Sigmops","","","Sigmops"
"Somniosus","","","Somniosus"
"Sphyraena","","","Sphyraena"
"Spirinchus","","","Spirinchus"
"Squalus","spiny dogfish","spiny_dogfish","Squalus"
"Squatina","","","Squatina"
"Stellerina","","","Stellerina"
"Stichaeus","","","Stichaeus"
"Stomias","","","Stomias"
"Stylephorus","","","Stylephorus"
"Symbolophorus","","","Symbolophorus"
"Symphurus","","","Symphurus"
"Synchirus","","","Synchirus"
"Synodus","","","Synodus"
"Tactostoma","","","Tactostoma"
"Talismania","","","Talismania"
"Tetragonurus","","","Tetragonurus"
"Thaleichthys","","","Thaleichthys"
"Thecopterus","","","Thecopterus"
"Thunnus","","","Thunnus"
"Thyriscus","","","Thyriscus"
"Torpedo","","","Torpedo"
"Trachipterus","","","Trachipterus"
"Trachurus","","","Trachurus"
"Triakis","","","Triakis"
"Trichiurus","","","Trichiurus"
"Trichocottus","","","Trichocottus"
"Trichodon","","","Trichodon"
"Urobatis","","","Urobatis"
"Xanthichthys","","","Xanthichthys"
"Xystreurys","","","Xystreurys"
"Zalembius","","","Zalembius"
"Zaniolepis","","","Zaniolepis"
"Zaprora","","","Zaprora"
"Zapteryx","","","Zapteryx"
"Zesticelus","","","Zesticelus"
"Oncorhynchus clarkii","cutthroat trout","cutthroat_trout","Oncorhynchus_clarkii"
"Rajiformes","","","Rajiformes"
"Elasmobranchii","cartilaginous fishes, rays, sharks","cartilaginous_fishes,_rays,_sharks","Elasmobranchii"
"Osteichthyes","bony fish unident.","bony_fish_unident.","Osteichthyes"
"Actinopterygii","ray finned fish unident.","ray_finned_fish_unident.","Actinopterygii"
"Neopterygii","","","Neopterygii"
"Acanthopterygii","","","Acanthopterygii"
"Teleostei","","","Teleostei"
"Paracanthopterygii","","","Paracanthopterygii"
"Lophiiformes","","","Lophiiformes"
"Stenopterygii","","","Stenopterygii"
"Elopomorpha","","","Elopomorpha"
"Euselachii","","","Euselachii"
"Chondrostei","","","Chondrostei"
"Acipenseriformes","","","Acipenseriformes"
"Acipenseroidei","","","Acipenseroidei"
"Scorpaeniformes","","","Scorpaeniformes"
"Cottoidei","","","Cottoidei"
"Cottoidea","","","Cottoidea"
"Cyclosquamata","","","Cyclosquamata"
"Aulopiformes","","","Aulopiformes"
"Alepisauroidei","","","Alepisauroidei"
"Protacanthopterygii","","","Protacanthopterygii"
"Osmeriformes","","","Osmeriformes"
"Argentinoidei","","","Argentinoidei"
"Alepocephaloidea","","","Alepocephaloidea"
"Lamniformes","","","Lamniformes"
"Perciformes","","","Perciformes"
"Trachinoidei","","","Trachinoidei"
"Zoarcoidei","","","Zoarcoidei"
"Beryciformes","","","Beryciformes"
"Trachichthyoidei","","","Trachichthyoidei"
"Anoplopomatoidei","","","Anoplopomatoidei"
"Argentinoidea","","","Argentinoidea"
"Oreosomatinae","","","Oreosomatinae"
"Alosinae","","","Alosinae"
"Clupeomorpha","","","Clupeomorpha"
"Clupeiformes","","","Clupeiformes"
"Clupeoidei","","","Clupeoidei"
"Atheriniformes","","","Atheriniformes"
"Atherinopsidae","","","Atherinopsidae"
"Atherinopsinae","","","Atherinopsinae"
"Scombroidei","","","Scombroidei"
"Aphanopodinae","","","Aphanopodinae"
"Cyclopteroidea","","","Cyclopteroidea"
"Aptocyclinae","","","Aptocyclinae"
"Labroidei","","","Labroidei"
"Gadiformes","","","Gadiformes"
"Scorpaenoidei","","","Scorpaenoidei"
"Osmeroidei","","","Osmeroidei"
"Osmeroidea","","","Osmeroidea"
"Carcharhiniformes","","","Carcharhiniformes"
"Percoidei","","","Percoidei"
"Zeiformes","","","Zeiformes"
"Zeioidei","","","Zeioidei"
"Acipenserinae","","","Acipenserinae"
"Macrourinae","","","Macrourinae"
"Gasterosteiformes","","","Gasterosteiformes"
"Gasterosteoidei","","","Gasterosteoidei"
"Aulorhynchidae","","","Aulorhynchidae"
"Bathylaconidae","","","Bathylaconidae"
"Bramidae","pomfret unident.","pomfret_unident.","Bramidae"
"Ceratioidea","","","Ceratioidea"
"Caulophrynidae","","","Caulophrynidae"
"Cetorhinidae","","","Cetorhinidae"
"Blennioidei","","","Blennioidei"
"Clinidae","kelp blenny unident.","kelp_blenny_unident.","Clinidae"
"Squaliformes","","","Squaliformes"
"Etmopteridae","","","Etmopteridae"
"Gasterosteidae","stickleback unident.","stickleback_unident.","Gasterosteidae"
"Gigantactinidae","","","Gigantactinidae"
"Giganturoidei","","","Giganturoidei"
"Giganturidae","","","Giganturidae"
"Hemitripteridae","searaven unident.","searaven_unident.","Hemitripteridae"
"Congroidei","","","Congroidei"
"Paralichthyidae","sand flounder unident.","sand_flounder_unident.","Paralichthyidae"
"Pleuronectoidei","","","Pleuronectoidei"
"Psychrolutidae","fathead sculpin unident.","fathead_sculpin_unident.","Psychrolutidae"
"Photichthyoidei","","","Photichthyoidei"
"Engraulinae","","","Engraulinae"
"Gonostomatoidei","","","Gonostomatoidei"
"Sternoptychinae","","","Sternoptychinae"
"Gadinae","","","Gadinae"
"Bythitinae","","","Bythitinae"
"Ophidiiformes","","","Ophidiiformes"
"Bythitoidei","","","Bythitoidei"
"Latilinae","","","Latilinae"
"Scopelomorpha","","","Scopelomorpha"
"Myctophiformes","","","Myctophiformes"
"Lampanyctinae","","","Lampanyctinae"
"Clupeinae","","","Clupeinae"
"Salmoniformes","","","Salmoniformes"
"Coregoninae","","","Coregoninae"
"Ophidioidei","","","Ophidioidei"
"Neobythitinae","","","Neobythitinae"
"Pleuronectinae","","","Pleuronectinae"
"Eopsettinae","","","Eopsettinae"
"Epinephelinae","","","Epinephelinae"
"Agnatha","","","Agnatha"
"Myxini","","","Myxini"
"Myxiniformes","","","Myxiniformes"
"Eptatretinae","","","Eptatretinae"
"Girellinae","","","Girellinae"
"Microstomini","","","Microstomini"
"Epinephelini","","","Epinephelini"
"Howellidae","","","Howellidae"
"Congridae","conger eel unident.","conger_eel_unident.","Congridae"
"Hexanchiformes","","","Hexanchiformes"
"Notorynchidae","","","Notorynchidae"
"Rhamphocottidae","grunt sculpin unident.","grunt_sculpin_unident.","Rhamphocottidae"
"Somniosidae","","","Somniosidae"
"Lampridiomorpha","","","Lampridiomorpha"
"Lampridiformes","","","Lampridiformes"
"Stylephoridae","tube-eye unident.","tube-eye_unident.","Stylephoridae"
"Atherinoidei","","","Atherinoidei"
"Tetraodontiformes","","","Tetraodontiformes"
"Tetraodontoidei","","","Tetraodontoidei"
"Stephanoberyciformes","","","Stephanoberyciformes"
"Cetomimoidea","","","Cetomimoidea"
"Batrachoidiformes","","","Batrachoidiformes"
"Stromateoidei","","","Stromateoidei"
"Holocephali","cartilaginous fishes, chimaeras","cartilaginous_fishes,_chimaeras","Holocephali"
"Holocephalimorpha","","","Holocephalimorpha"
"Chimaeriformes","chimaera unident.","chimaera_unident.","Chimaeriformes"
"Chimaeroidei","","","Chimaeroidei"
"Myliobatiformes","","","Myliobatiformes"
"Saccopharyngiformes","","","Saccopharyngiformes"
"Saccopharyngoidei","","","Saccopharyngoidei"
"Gobioidei","","","Gobioidei"
"Heterodontiformes","","","Heterodontiformes"
"Hexagrammoidei","","","Hexagrammoidei"
"Icosteoidei","","","Icosteoidei"
"Acanthuroidei","","","Acanthuroidei"
"Stephanoberycoidea","","","Stephanoberycoidea"
"Albuliformes","","","Albuliformes"
"Notacanthoidei","","","Notacanthoidei"
"Cephalaspidomorphi","","","Cephalaspidomorphi"
"Petromyzontiformes","","","Petromyzontiformes"
"Rhinobatiformes","","","Rhinobatiformes"
"Beloniformes","","","Beloniformes"
"Belonoidei","","","Belonoidei"
"Scomberesocoidea","","","Scomberesocoidea"
"Squatiniformes","","","Squatiniformes"
"Syngnathoidei","","","Syngnathoidei"
"Synodontoidei","","","Synodontoidei"
"Torpediniformes","","","Torpediniformes"
"Congrinae","","","Congrinae"
"Hippoglossinae","","","Hippoglossinae"
"Hippoglossoidinae","","","Hippoglossoidinae"
"Kyphosinae","","","Kyphosinae"
"Lepidopodinae","","","Lepidopodinae"
"Lyopsettinae","","","Lyopsettinae"
"Merlucciinae","","","Merlucciinae"
"Myctophinae","","","Myctophinae"
"Myxininae","","","Myxininae"
"Ophidiinae","","","Ophidiinae"
"Entosphenus","","","Entosphenus"
"Salmoninae","","","Salmoninae"
"Scombrinae","","","Scombrinae"
"Scorpidinae","","","Scorpidinae"
"Serraninae","","","Serraninae"
"Stomiinae","scaly dragonfish unident.","scaly_dragonfish_unident.","Stomiinae"
"Symphurinae","","","Symphurinae"
"Trichiurinae","","","Trichiurinae"
"Pleuronectini","","","Pleuronectini"
"Isopsettini","","","Isopsettini"
"Psettichthyini","","","Psettichthyini"
"Thunnini","","","Thunnini"
"Chaenopsidae","","","Chaenopsidae"
"Neoclinus","","","Neoclinus"
"Scymnodon","","","Scymnodon"
"Platytroctes","","","Platytroctes"
"Semicossyphus","","","Semicossyphus"
"Halichoeres","","","Halichoeres"
"Oxyjulis","","","Oxyjulis"
